"result_sim1","result_se","gamma_result"
0.15,0.0640040683330945,0.0714285714285714
0.0523333333333333,0.0429692030763788,0.22972972972973
0.024375,0.029656333321242,0.371794871794872
0.02,0.0253871494522352,0.525
0.0261111111111111,0.0294978128462697,0.678571428571429
0.0452777777777778,0.0444330442730351,0.811111111111111
0.242368421052632,0.119357746208893,0.967391304347826
0.05025,0.0437357480393974,1.125
0.0178571428571429,0.0222878334648535,1.28
0.00642857142857143,0.0161785174973202,1.40384615384615
0.00272727272727273,0.0080951433911378,1.44444444444444
0.00130434782608696,0.00518876644730309,1.76363636363636
0.000208333333333333,0.00208333333333333,2.07894736842105
6e-04,0.00342893215995531,2.39830508474576
0,0,2.68032786885246
0,0,3
0,0,3.31538461538462
0.000357142857142857,0.00251259453814803,3.65151515151515
0.000172413793103448,0.00172413793103448,3.97058823529412
0,0,4.28571428571429
