"result_sim1","result_se","gamma_result"
0.281,0.0884147709218981,0.0714285714285714
0.283333333333333,0.0919302912601633,0.22972972972973
0.320625,0.0912027690136521,0.371794871794872
0.336470588235294,0.0878203752021909,0.525
0.385277777777778,0.0868285884145056,0.678571428571429
0.423611111111111,0.0887568288087292,0.811111111111111
0.465789473684211,0.0884736306045358,0.967391304347826
0.40325,0.0949252097945822,1.125
0.373809523809524,0.0816763036368596,1.28
0.366428571428571,0.0792853134509669,1.40384615384615
0.356818181818182,0.0771565052627837,1.44444444444444
0.314565217391304,0.0804229121556962,1.76363636363636
0.294791666666667,0.0781407812343797,2.07894736842105
0.2918,0.0667935156835882,2.39830508474576
0.273,0.0643459714388091,2.68032786885246
0.271730769230769,0.0665418748647302,3
0.266481481481481,0.0666861487932059,3.31538461538462
0.249642857142857,0.0600077728078736,3.65151515151515
0.253448275862069,0.0541628727651448,3.97058823529412
0.246666666666667,0.0533922233794041,4.28571428571429
